""
37AACCK8056H1ZB,Kanti Brothers Oils Pvt Ltd. Kurnool
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-01,20-21/LLF/106,52418,GSTR2B Input,01/11/2020,20-21/LLF/106,55976
Books,2020-11-01,20-21/CAM/116,17658,GSTR2B Input,01/11/2020,20-21/CAM/116,17658
37ACIFS7105A1ZD,Sree Vijaya Krishna Hospitality Services Vizag
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-02,3,187384,,,,
33AAKCA4972C1ZU,Artex Trends (India) Pvt Ltd CHN
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
,,,,GSTR2B Input,10/11/2020,201137RT01401,3927.04
,,,,GSTR2B Input,10/11/2020,201137RT01402,2423.72
,,,,GSTR2B Input,10/11/2020,201137RT01403,1298.0
,,,,GSTR2B Input,10/11/2020,201137RT01404,1167.02
,,,,GSTR2B Input,10/11/2020,201137RT01405,7719.56
,,,,GSTR2B Input,10/11/2020,201137RT01406,3289.84
,,,,GSTR2B Input,10/11/2020,201137RT01407,1847.88
,,,,GSTR2B Input,10/11/2020,201137RT01408,1568.22
,,,,GSTR2B Input,10/11/2020,201137RT01409,2677.42
,,,,GSTR2B Input,10/11/2020,201137RT01410,2518.12
,,,,GSTR2B Input,10/11/2020,201137RT01411,1298.0
,,,,GSTR2B Input,10/11/2020,201137RT01412,5825.66
,,,,GSTR2B Input,10/11/2020,201137RT01413,2039.04
,,,,GSTR2B Input,10/11/2020,201137RT01414,3169.48
,,,,GSTR2B Input,10/11/2020,201137RT01415,4406.12
,,,,GSTR2B Input,10/11/2020,201137RT01416,9814.06
,,,,GSTR2B Input,10/11/2020,201137RT01417,1877.38
,,,,GSTR2B Input,10/11/2020,201137RT01418,2518.12
,,,,GSTR2B Input,10/11/2020,201137RT01419,6389.7
,,,,GSTR2B Input,10/11/2020,201137RT01420,3627.32
,,,,GSTR2B Input,11/11/2020,201137RT01633,2016.62
,,,,GSTR2B Input,11/11/2020,201137RT01634,1544.62
,,,,GSTR2B Input,11/11/2020,201137RT01635,6761.4
,,,,GSTR2B Input,11/11/2020,201137RT01818,3503.42
,,,,GSTR2B Input,11/11/2020,201137RT01820,895.62
,,,,GSTR2B Input,11/11/2020,201137RT01822,895.62
,,,,GSTR2B Input,11/11/2020,201137RT01824,1298.0
,,,,GSTR2B Input,11/11/2020,201137RT01830,2087.42
,,,,GSTR2B Input,12/11/2020,201137RT02036,2958.26
,,,,GSTR2B Input,13/11/2020,201137RT02236,1420.72
,,,,GSTR2B Input,16/11/2020,201137RT02486,1967.06
,,,,GSTR2B Input,16/11/2020,201137RT02487,1906.88
,,,,GSTR2B Input,16/11/2020,201137RT02488,3701.66
,,,,GSTR2B Input,16/11/2020,201137RT02489,2119.28
,,,,GSTR2B Input,16/11/2020,201137RT02497,1298.0
,,,,GSTR2B Input,16/11/2020,201137RT02499,4506.42
,,,,GSTR2B Input,16/11/2020,201137RT02501,4081.62
,,,,GSTR2B Input,16/11/2020,201137RT02502,2283.3
,,,,GSTR2B Input,17/11/2020,201137RT02660,3400.76
,,,,GSTR2B Input,18/11/2020,201137RT02792,4508.78
,,,,GSTR2B Input,18/11/2020,201137RT02793,1869.12
,,,,GSTR2B Input,18/11/2020,201137RT02794,3180.1
,,,,GSTR2B Input,19/11/2020,201137RT02941,1969.42
,,,,GSTR2B Input,20/11/2020,201137RT03100,1652.0
,,,,GSTR2B Input,20/11/2020,201137RT03101,2492.16
,,,,GSTR2B Input,20/11/2020,201137RT03103,3797.24
,,,,GSTR2B Input,21/11/2020,201137RT03309,8643.5
,,,,GSTR2B Input,21/11/2020,201137RT03310,8859.44
,,,,GSTR2B Input,25/11/2020,201137RT03807,4872.22
,,,,GSTR2B Input,25/11/2020,201137RT03808,3650.92
,,,,GSTR2B Input,25/11/2020,201137RT03809,1156.4
,,,,GSTR2B Input,25/11/2020,201137RT03810,2920.5
,,,,GSTR2B Input,26/11/2020,201137RT03898,1878.56
,,,,GSTR2B Input,26/11/2020,201137RT03899,2364.72
,,,,GSTR2B Input,27/11/2020,201137RT04055,1416.0
,,,,GSTR2B Input,27/11/2020,201137RT04066,767.0
,,,,GSTR2B Input,27/11/2020,201137RT04067,3282.76
,,,,GSTR2B Input,27/11/2020,201137RT04068,3497.52
,,,,GSTR2B Input,27/11/2020,201137RT04069,2636.12
,,,,GSTR2B Input,27/11/2020,201137RT04070,2065.0
,,,,GSTR2B Input,27/11/2020,201137RT04071,354.0
,,,,GSTR2B Input,27/11/2020,201137RT04072,354.0
,,,,GSTR2B Input,27/11/2020,201137RT04073,767.0
,,,,GSTR2B Input,27/11/2020,201137RT04074,1298.0
,,,,GSTR2B Input,27/11/2020,201137RT04075,2391.86
,,,,GSTR2B Input,27/11/2020,201137RT04076,4895.82
,,,,GSTR2B Input,27/11/2020,201137RT04077,5512.96
,,,,GSTR2B Input,27/11/2020,201137RT04081,4838.0
,,,,GSTR2B Input,27/11/2020,201137RT04083,1850.24
,,,,GSTR2B Input,28/11/2020,201137RT04253,767.0
,,,,GSTR2B Input,28/11/2020,201137RT04255,767.0
,,,,GSTR2B Input,28/11/2020,201137RT04258,1298.0
,,,,GSTR2B Input,28/11/2020,201137RT04259,1603.62
,,,,GSTR2B Input,28/11/2020,201137RT04260,448.4
,,,,GSTR2B Input,28/11/2020,201137RT04261,4183.1
,,,,GSTR2B Input,28/11/2020,201137RT04262,1298.0
,,,,GSTR2B Input,28/11/2020,201137RT04263,1298.0
,,,,GSTR2B Input,28/11/2020,201137RT04264,2625.5
,,,,GSTR2B Input,28/11/2020,201137RT04266,3798.42
,,,,GSTR2B Input,28/11/2020,201137RT04267,2200.7
,,,,GSTR2B Input,28/11/2020,201137RT04268,4148.88
,,,,GSTR2B Input,28/11/2020,201137RT04269,1998.92
,,,,GSTR2B Input,28/11/2020,201137RT04271,2193.62
37AAVCS7234G1ZS,Sree Raama Sai Office Solutions Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-06,R401,12581,,,,
37AADCV9256F1ZZ,Vizag Broadcasting Company Vja
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-06,140487,1805,GSTR2B Input,01/11/2020,140487,1805
06AAECE7564Q1ZY,EasyRewardz Software Services Pvt Ltd. Gurgaon
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-06,ER/20-21/Nov/06,23300,GSTR2B Input,04/11/2020,ER/20-21/Nov/06,23600
Books,2020-11-06,ER/20-21/Nov/05,116500,GSTR2B Input,04/11/2020,ER/20-21/Nov/05,118000
,,,,GSTR2B Input,13/11/2020,ER/20-21/Nov/155,10168
37AACCB9218L1ZD,B.V.R.Malls Pvt Ltd Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-06,Rent/20-21/0459,35728,GSTR2B Input,02/11/2020,Rent/20-21/0459,38153
